tile_depth,strip_width,num_strips,k_squared,r_min,r_max,first_band_io_zero_R,first_acc_io_zero_R,band_io_zero_count,total_shells,wall_seconds,status
250,120,32,26,950000,1050000,,953875.0,0,400,298.84,ok
250,120,64,26,950000,1050000,,,0,0,300.102,timeout
250,120,256,26,950000,1050000,,,0,0,300.123,timeout
250,120,128,26,950000,1050000,,,0,0,300.124,timeout
250,240,64,26,950000,1050000,,,0,0,300.105,timeout
250,240,32,26,950000,1050000,,,0,0,300.106,timeout
250,240,128,26,950000,1050000,,,0,0,300.104,timeout
250,240,256,26,950000,1050000,,,0,0,300.105,timeout
250,480,32,26,950000,1050000,,,0,0,300.101,timeout
250,480,64,26,950000,1050000,,,0,0,300.104,timeout
250,480,128,26,950000,1050000,,,0,0,300.102,timeout
250,480,256,26,950000,1050000,,,0,0,300.104,timeout
250,960,32,26,950000,1050000,,,0,0,300.106,timeout
250,960,64,26,950000,1050000,,,0,0,300.106,timeout
250,960,128,26,950000,1050000,,,0,0,300.106,timeout
250,960,256,26,950000,1050000,,,0,0,300.107,timeout
500,120,32,26,950000,1050000,958250.0,953750.0,5,200,174.391,ok
500,120,64,26,950000,1050000,,954750.0,0,200,245.316,ok
500,120,128,26,950000,1050000,,,0,0,300.101,timeout
500,120,256,26,950000,1050000,,,0,0,300.102,timeout
500,240,64,26,950000,1050000,,,0,0,300.101,timeout
500,240,32,26,950000,1050000,,,0,0,300.101,timeout
500,240,128,26,950000,1050000,,,0,0,300.102,timeout
500,240,256,26,950000,1050000,,,0,0,300.102,timeout
500,480,64,26,950000,1050000,,,0,0,300.105,timeout
500,480,32,26,950000,1050000,,,0,0,300.105,timeout
500,480,128,26,950000,1050000,,,0,0,300.104,timeout
500,480,256,26,950000,1050000,,,0,0,300.104,timeout
500,960,64,26,950000,1050000,,,0,0,300.104,timeout
500,960,32,26,950000,1050000,,,0,0,300.104,timeout
500,960,128,26,950000,1050000,,,0,0,300.107,timeout
500,960,256,26,950000,1050000,,,0,0,300.11,timeout
1000,120,32,26,950000,1050000,953500.0,953500.0,22,100,165.184,ok
1000,120,64,26,950000,1050000,1011500.0,954500.0,2,100,235.331,ok
1000,120,256,26,950000,1050000,,,0,0,300.104,timeout
1000,120,128,26,950000,1050000,,,0,0,300.105,timeout
1000,240,32,26,950000,1050000,,,0,0,300.102,timeout
1000,240,64,26,950000,1050000,,,0,0,300.106,timeout
1000,240,128,26,950000,1050000,,,0,0,300.106,timeout
1000,240,256,26,950000,1050000,,,0,0,300.108,timeout
1000,480,32,26,950000,1050000,,,0,0,300.103,timeout
1000,480,64,26,950000,1050000,,,0,0,300.103,timeout
1000,480,128,26,950000,1050000,,,0,0,300.109,timeout
1000,480,256,26,950000,1050000,,,0,0,300.109,timeout
1000,960,32,26,950000,1050000,,,0,0,300.107,timeout
1000,960,64,26,950000,1050000,,,0,0,300.107,timeout
1000,960,128,26,950000,1050000,,,0,0,300.108,timeout
1000,960,256,26,950000,1050000,,,0,0,300.11,timeout
2000,120,32,26,950000,1050000,953000.0,953000.0,26,50,160.078,ok
2000,120,64,26,950000,1050000,977000.0,955000.0,12,50,231.334,ok
2000,120,256,26,950000,1050000,,,0,0,300.104,timeout
2000,120,128,26,950000,1050000,,,0,0,300.106,timeout
2000,240,32,26,950000,1050000,,,0,0,300.108,timeout
2000,240,64,26,950000,1050000,,,0,0,300.109,timeout
2000,240,128,26,950000,1050000,,,0,0,300.107,timeout
2000,240,256,26,950000,1050000,,,0,0,300.107,timeout
2000,480,64,26,950000,1050000,,,0,0,300.105,timeout
2000,480,32,26,950000,1050000,,,0,0,300.107,timeout
2000,480,128,26,950000,1050000,,,0,0,300.109,timeout
2000,480,256,26,950000,1050000,,,0,0,300.11,timeout
2000,960,64,26,950000,1050000,,,0,0,300.112,timeout
2000,960,32,26,950000,1050000,,,0,0,300.115,timeout
2000,960,128,26,950000,1050000,,,0,0,300.101,timeout
2000,960,256,26,950000,1050000,,,0,0,300.108,timeout
4000,120,32,26,950000,1050000,952000.0,952000.0,24,25,157.941,ok
4000,120,64,26,950000,1050000,956000.0,956000.0,18,25,231.559,ok
4000,120,128,26,950000,1050000,,,0,0,300.108,timeout
4000,120,256,26,950000,1050000,,,0,0,300.113,timeout
4000,240,32,26,950000,1050000,,,0,0,300.107,timeout
4000,240,64,26,950000,1050000,,,0,0,300.108,timeout
4000,240,256,26,950000,1050000,,,0,0,300.108,timeout
4000,240,128,26,950000,1050000,,,0,0,300.11,timeout
4000,480,32,26,950000,1050000,,,0,0,300.117,timeout
4000,480,64,26,950000,1050000,,,0,0,300.117,timeout
4000,480,128,26,950000,1050000,,,0,0,300.113,timeout
4000,480,256,26,950000,1050000,,,0,0,300.113,timeout
4000,960,64,26,950000,1050000,,,0,0,300.115,timeout
4000,960,32,26,950000,1050000,,,0,0,300.117,timeout
4000,960,128,26,950000,1050000,,,0,0,300.108,timeout
4000,960,256,26,950000,1050000,,,0,0,300.115,timeout
